# Complete Arabic Translation for Hotel Management
# Format: "English","Arabic","Context"

# Main Modules
"Hotel Management","إدارة الفنادق",""
"Front Desk","مكتب الاستقبال",""
"Owner Portal","بوابة الملاك",""

# DocTypes
"Property","عقار",""
"Property Unit","وحدة العقار",""
"Unit Type","نوع الوحدة",""
"Rate Plan","خطة الأسعار",""
"Owner","مالك",""
"Owner Settlement","تسوية المالك",""
"Owner Settlement Revenue Item","بند إيرادات التسوية",""
"Owner Settlement Expense Item","بند مصروفات التسوية",""
"Guest","ضيف",""
"Reservation","حجز",""
"Reservation Unit","وحدة الحجز",""
"Reservation Guest","ضيف الحجز",""
"Reservation Service","خدمة الحجز",""
"Housekeeping Task","مهمة النظافة",""
"Maintenance Request","طلب صيانة",""

# Property Fields
"Property Name","اسم العقار",""
"Property Type","نوع العقار",""
"Hotel","فندق",""
"Building","مبنى",""
"Resort","منتجع",""
"Compound","كمبوند",""
"Address","العنوان",""
"Manager","المدير",""
"Manager (User)","المدير (مستخدم)",""
"Default Currency","العملة الافتراضية",""
"Default Cost Center","مركز التكلفة الافتراضي",""
"Owner (Link to Owner)","المالك (رابط للمالك)",""

# Property Unit Fields
"Unit ID","رقم الوحدة",""
"Floor","الطابق",""
"Status","الحالة",""
"Available","متاحة",""
"Booked","محجوزة",""
"Occupied","مشغولة",""
"Cleaning","جارٍ التنظيف",""
"Maintenance","صيانة",""
"Rate per Night","سعر الليلة",""
"Ownership Details","تفاصيل الملكية",""
"Property Owner","مالك العقار",""
"Owner Managed","مُدار بواسطة المالك",""
"Accounting (Optional - Method A)","المحاسبة (اختياري - الطريقة أ)",""
"Item Code","رمز الصنف",""
"Revenue Account","حساب الإيرادات",""
"Expense Account","حساب المصروفات",""
"Cost Center","مركز التكلفة",""

# Unit Type Fields
"Unit Type Name","اسم نوع الوحدة",""
"Max Occupancy","الحد الأقصى للإشغال",""
"Max Occupancy (Persons)","الحد الأقصى للإشغال (أشخاص)",""
"Default Rate","السعر الافتراضي",""
"Default Rate per Night","السعر الافتراضي لليلة",""
"Size (Square Meters)","المساحة (متر مربع)",""
"Size","المساحة",""
"Details & Amenities","التفاصيل والمرافق",""
"Amenities","المرافق",""
"Description","الوصف",""
"Is Active","نشط",""

# Unit Type Options
"Single Room","غرفة مفردة",""
"Double Room","غرفة مزدوجة",""
"Suite","جناح",""
"Deluxe Suite","جناح فاخر",""
"Studio","استوديو",""
"1 Bedroom","غرفة نوم واحدة",""
"2 Bedrooms","غرفتا نوم",""
"3 Bedrooms","ثلاث غرف نوم",""
"Penthouse","بنتهاوس",""
"Chalet","شاليه",""
"Villa","فيلا",""
"Bungalow","بنغل",""
"Beach House","بيت شاطئي",""
"Townhouse","تاون هاوس",""
"Twin House","توين هاوس",""

# Rate Plan Fields
"Rate Plan Name","اسم خطة الأسعار",""
"Valid From","صالح من",""
"Valid To","صالح حتى",""
"Rate Details","تفاصيل السعر",""
